No			Tên Item											Key Type									Loại						Maxlenght							Bắt buộc						Default							Ghi chú															
1			CUSTOMER_ID											PK									NUMERIC						8							○																												
2			CUSTOMER_NAME																				VARCHAR						50																																			
3			SEX																				VARCHAR						1																																			
4			BIRTHDAY																				VARCHAR						10																																			
5			EMAIL																				VARCHAR						40																																			
6			ADDRESS																				VARCHAR						256																																			
7			DELETE_YMD																				TIMESTAMP																			NULL																						
8			INSERT_YMD																				TIMESTAMP																			CURRENT_TIMESTAMP																						
9			INSERT_PSN_CD																				NUMERIC						5													0																						
10			UPDATE_YMD																				TIMESTAMP																			NULL																						
11			UPDATE_PSN_CD																				NUMERIC						5													0																						
